Top 10?,WA Water Resilence?,CFDA #,CFDA Name,Department/Ind. Agency,Awarding Sub Agency,Sub-Tier,WP Category,Types of Assistance,Total $,Total $ Rank,Per Capita $,Per Capita $ Rank,Unique from WP CFDA list?,Title,Related Federal Assistance,Last Date Modified,Date Published,Funded,POC Information
,y,15.628,Multistate Conservation Grant,"INTERIOR, DEPARTMENT OF THE",NULL,U.S. FISH AND WILDLIFE SERVICE,,B - Project Grants (Discretionary),0,48,0,48,FALSE,Multistate Conservation Grant,"15.605, 15.611",29-Apr-21,29-Apr-21,TRUE,"Director, Policy and Programs,

U.S. Fish and Wildlife Service Headquarters, Wildlife and Sport Fish Restoration Program, Policy and Programs Division, 5275 Leesburg Pike, MS: WSFR, Falls Church VA 22041-3803

(703) 358-2156"
,y,15.630,Coastal,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,,B - Cooperative Agreements (Discretionary Grants),1791787.76,5,0.235,3,FALSE,Coastal,"15.631, 15.631",6-May-21,6-May-21,TRUE,"Chris Darnell

Branch of Habitat Restoration

U.S. Fish and Wildlife Service

5275 Leesburg Pike MS NWRS, Falls Church VA 22041

703-557-8163"
,y,15.631,Partners for Fish and Wildlife,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,,B - Project Grants (Discretionary),12795102.46,1,1.68,8,FALSE,Partners for Fish and Wildlife,15.63,7-May-21,7-May-21,TRUE,"Matt Filsinger

Branch of Habitat Restoration, U.S. Fish and Wildlife Service, Department of the Interior,

5275 Leesburg Pike, MS: NWRS  , Falls Church VA 22041-3803

(703) 358-2011"
,,15.632,Conservation Grants Private Stewardship for Imperiled Species,USFWS,NULL,,,Conservation/Forestry/Watersheds,0,48,0,48,FALSE,CONSERVATION GRANTS PRIVATE STEWARDSHIP FOR IMPERILED SPECIES,,,,,
,y,15.633,Landowner Incentive,"INTERIOR, DEPARTMENT OF THE",NULL,U.S. FISH AND WILDLIFE SERVICE,Conservation,B - Project Grants (Discretionary),0,43,0,43,TRUE,Landowner Incentive,"15.611, 15.634, 15.608, 15.615, 15.605",3-May-21,3-May-21,FALSE,"Chief, Policy and Programs Division

Chief, Policy and Programs Division, Wildlife and Sport Fish Restoration Programs, U.S. Fish and Wildlife Service, Department of the Interior, MS: WSFR, 5275 Leesburg Pike, , Falls Church VA 22041-3803

(703)358-2231"
,,15.634,State Wildlife Grants,USFWS,U.S. Fish and Wildlife Service,,,Conservation/Forestry/Watersheds,5359358.22,24,0.704,40,FALSE,STATE WILDLIFE GRANTS,,,,,
,y,15.635,Neotropical Migratory Bird Conservation,"INTERIOR, DEPARTMENT OF THE",NULL,U.S. FISH AND WILDLIFE SERVICE,Conservation,B - Project Grants (Discretionary),0,48,0,48,TRUE,Neotropical Migratory Bird Conservation,15.623,3-May-21,3-May-21,TRUE,"Chief,

U.S. Fish and Wildlife Service, Division of Bird Habitat Conservation, MS: MB, 5275 Leesburg Pike, Falls Church VA 22041-3803

(703) 358-1784"
,y,15.637,Migratory Bird Joint Ventures,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,Conservation,B - Project Grants,641230,9,0.084,12,TRUE,Migratory Bird Joint Ventures,"15.647, 15.631, 15.623, 15.635",10-May-21,10-May-21,TRUE,"Joint Venture Liaison Officer,

Division of Bird Habitat Conservation, Department of the Interior, Fish and Wildlife Service, MS: MBSP, 5275 Leesburg Pike,, Falls Church VA 22041-3803

(703 ) 358-1784"
,y,15.639,Tribal Wildlife Grants,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,,B - Project Grants (Discretionary),3230372.71,3,0.424,8,FALSE,Tribal Wildlife Grants,"15.623, 15.631, 15.630",14-May-21,14-May-21,TRUE,"Scott Aikin

National Native American Programs Coordinator, U. S. Fish and Wildlife Service, Department of the Interior, 1211 SE Cardinal Court, Suite 100,  , Vancouver WA 98683

(360)604-2531"
,,15.642,Challenge Cost Share,Interior USFWS,NULL,,,Capital Projects,0,48,0,48,FALSE,CHALLENGE COST SHARE,,,,,
,,15.649,Service Training and Technical Assistance (Generic Training),USFWS,U.S. Fish and Wildlife Service,,,Technical Assistance,126900,7,0.017,12,FALSE,SERVICE TRAINING AND TECHNICAL ASSISTANCE (GENERIC TRAINING),,,,,
,,15.650,Research Grants (Generic),USFWS,U.S. Fish and Wildlife Service,,,RESEARCH & INNOVATION,911507.78,4,0.12,8,FALSE,RESEARCH GRANTS (GENERIC),,,,,
,,15.654,National Wildlife Refuge System Enhancements,USFWS,U.S. Fish and Wildlife Service,,,Conservation/Forestry/Watersheds,1268983.66,7,0.167,10,FALSE,NATIONAL WILDLIFE REFUGE SYSTEM ENHANCEMENTS,,,,,
,y,15.656,"Recovery Act Funds - Habitat Enhancement, Restoration and Improvement.","INTERIOR, DEPARTMENT OF THE",NULL,U.S. FISH AND WILDLIFE SERVICE,,B - Cooperative Agreements (Discretionary Grants),0,48,0,48,FALSE,"Recovery Act Funds - Habitat Enhancement, Restoration and Improvement.","15.631, 15.608, 15.605, 15.608, 15.630, 66.708",14-May-21,14-May-21,FALSE,"Assistant Director,

Fisheries and Habitat Conservation, Fish and Wildlife Service, Department of the Interior, 1849 C Street, N.W., Washington DC 20240

(202) 208-6394"
,y,15.657,Endangered Species Recovery Implementation,USFWS,U.S. Fish and Wildlife Service,,,Conservation/Forestry/Watersheds,5791172.51,7,0.761,10,FALSE,Endangered Species Recovery Implementation,,,,,
,,15.658,Natural Resource Damage Assessment and Restoration,"INTERIOR, DEPARTMENT OF THE",NULL,U.S. FISH AND WILDLIFE SERVICE,,B - Project Grants (Discretionary),0,49,0,49,FALSE,Natural Resource Damage Assessment and Restoration,"15.236, 66.806, 66.802, 66.309, 66.708",10-May-21,10-May-21,TRUE,"Chief, Branch of Environmental Response and Restoration

U.S. Fish and Wildlife Service, Department of the Interior, 5275 Leesburg Pike, (MS: ES), Falls Church VA 22041

(703) 358-2171"
,y,15.660,Candidate Species Conservation,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,Conservation,B - Project Grants (Discretionary),446389.1,3,0.059,8,TRUE,Candidate Species Conservation,"15.631, 15.615",19-Apr-21,19-Apr-21,TRUE,"Ecological Services Program

U.S. Fish and Wildlife Service, Department of the Interior, 5275 Leesburg Pike (MS: ES), Falls Church VA 22041

(703) 358-2171"
,,15.664,Fish and Wildlife Coordination and Assistance,USFWS,U.S. Fish and Wildlife Service,,,Technical Assistance,1017403.8,5,0.134,11,FALSE,FISH AND WILDLIFE COORDINATION AND ASSISTANCE PROGRAMS,,,,,
,y,15.665,National Wetlands Inventory,"INTERIOR, DEPARTMENT OF THE",NULL,U.S. FISH AND WILDLIFE SERVICE,,B - Project Grants (Discretionary),0,49,0,49,FALSE,National Wetlands Inventory,N/A,10-May-21,10-May-21,TRUE,"Chief, Geospatial Mapping and Technical Services

U.S. Fish and Wildlife Service, Department of the Interior, 5275 Leesburg Pike, (MS: ES), Falls Church VA 22041-3803

(703) 358-2171"
,,15.668,Coastal Impact Assistance,Interior USFWS,NULL,,,Capital Projects,0,48,0,48,FALSE,COASTAL IMPACT ASSISTANCE PROGRAM,,,,,
,,15.669,Cooperative Landscape Conservation,USFWS,U.S. Fish and Wildlife Service,,,RESEARCH & INNOVATION,490050.51,12,0.064,13,FALSE,COOPERATIVE LANDSCAPE CONSERVATION,,,,,
,,15.670,Adaptive Science,"INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,,B - Project Grants (Discretionary),1101157.92,6,0.145,14,FALSE,Adaptive Science,N/A,6-May-21,6-May-21,TRUE,"Anna-Marie York

U.S. Fish and Wildlife Service, Department of the Interior, 5275 Leesburg Pike MS: SA, Falls Church VA 22041-3803

(703)358-1881"
,y,15.674,National Fire Plan-Wildland Urban Interface Community Fire Assistance,"INTERIOR, DEPARTMENT OF THE",NULL,U.S. FISH AND WILDLIFE SERVICE,Conservation,B - Cooperative Agreements (Discretionary Grants),0,48,0,48,TRUE,National Fire Plan-Wildland Urban Interface Community Fire Assistance,"15.948, 15.228, 15.228",14-May-21,14-May-21,TRUE,"Tate Fischer

National Fuels Management Specialist, U.S. Fish and Wildlife Service, National Interagency Fire Center, 3833 South Development Avenue, Boise ID 83705

208-387-5941"
,y,15.676,"Youth Engagement, Education, and Employment ","INTERIOR, DEPARTMENT OF THE",U.S. Fish and Wildlife Service,U.S. FISH AND WILDLIFE SERVICE,,B - Cooperative Agreements (Discretionary Grants),966750.46,12,0.127,21,FALSE,"Youth Engagement, Education, and Employment","15.664, 15.664",17-May-21,17-May-21,TRUE,"Deborah Moore

5275 Leesburg Pike, Falls Church VA 22041-3803

(703)358-2386"
,,15.678,Cooperative Ecosystem Studies Units,USFWS,U.S. Fish and Wildlife Service,,,RESEARCH & INNOVATION,504568.91,21,0.066,25,FALSE,COOPERATIVE ECOSYSTEM STUDIES UNITS,,,,,
,,15.681,NULL,"INTERIOR, DEPARTMENT OF THE",NULL,U.S. FISH AND WILDLIFE SERVICE,Capital Projects,"I - Use of Property, Facilities, and Equipment",0,48,0,48,TRUE,Cooperative Agriculture,N/A,17-May-21,17-May-21,FALSE,"Cooperative Agriculture Program

U.S. Fish and Wildlife Service, National Wildlife Refuge System Headquarters, MS:NWRS, 5275 Leesburg Pike, Falls Church VA 22041

1-800-344-9453"
,y,15.805,Assistance to State Water Resources Research Institutes,"INTERIOR, DEPARTMENT OF THE",U.S. Geological Survey,US GEOLOGICAL SURVEY,,B - Cooperative Agreements (Discretionary Grants),910319.93,36,0.12,36,FALSE,Assistance to State Water Resources Research Institutes,N/A,17-May-21,17-May-21,TRUE,"Earl Greene

Department of the Interior, Geological Survey, Office of External Research, 5522 Research Park Drive,, Baltimore MD 21228

(443) 498-5505"
,,15.808,U.S. Geological Survey Research and Data Collection,USGS,U.S. Geological Survey,,,RESEARCH & INNOVATION,14291537.46,7,1.877,10,FALSE,U.S. GEOLOGICAL SURVEY RESEARCH AND DATA COLLECTION,,,,,
,,15.810,National Cooperative Geologic Mapping,USGS,U.S. Geological Survey,,,Data & Monitoring,829826.22,21,0.109,26,FALSE,NATIONAL COOPERATIVE GEOLOGIC MAPPING PROGRAM,,,,,
,,15.812,Cooperative Research Units,USGS,U.S. Geological Survey,,,RESEARCH & INNOVATION,3337801.97,7,0.438,15,FALSE,COOPERATIVE RESEARCH UNITS PROGRAM,,,,,
,,15.814,National Geological and Geophysical Data Preservation,USGS,U.S. Geological Survey,,,Data & Monitoring,203707.37,13,0.027,21,FALSE,NATIONAL GEOLOGICAL AND GEOPHYSICAL DATA PRESERVATION PROGRAM,,,,,
,,15.815,National Land Remote Sensing Education Outreach and Research,"INTERIOR, DEPARTMENT OF THE",NULL,US GEOLOGICAL SURVEY,Data & Monitoring,B - Project Grants (Discretionary),0,48,0,48,TRUE,National Land Remote Sensing Education Outreach and Research,N/A,4-May-21,4-May-21,TRUE,"Thomas Cecere,

Land Remote Sensing Program Office, Climate and Land Use Mission Area, Geological Survey, 516 National Center, Reston VA 20192

(703) 648-5551"
,,15.817,National Geospatial Program: Building The National Map,USGS,U.S. Geological Survey,,,Data & Monitoring,97000,15,0.013,16,FALSE,NATIONAL GEOSPATIAL PROGRAM: BUILDING THE NATIONAL MAP,,,,,
,y,15.820,National and Regional Climate Adaptation Science Centers,"INTERIOR, DEPARTMENT OF THE",U.S. Geological Survey,US GEOLOGICAL SURVEY,,B - Cooperative Agreements (Discretionary Grants),4048078.98,9,0.532,9,FALSE,National and Regional Climate Adaptation Science Centers,N/A,3-May-21,3-May-21,TRUE,"Nadine Hartke,

Department of the Interior, U.S. Geological Survey, National Climate Change and Wildlife Science Center (NCCWSC),  12201 Sunrise Valley Drive, MS-516, Reston VA 20192

(703) 648-4607"
,y,15.916,"Outdoor Recreation Acquisition, Development and Planning","INTERIOR, DEPARTMENT OF THE",National Park Service,NATIONAL PARK SERVICE,,B - Project Grants,15124420.36,6,1.986,19,FALSE,"Outdoor Recreation Acquisition, Development and Planning","15.918, 15.918",4-May-20,4-May-20,TRUE,"Joel Lynch

State and Local Assistance Program

1849 C Street, NW MS 1353 , Washington DC 20240

(202) 354-6905"
,,15.921,"Rivers, Trails and Conservation Assistance",NPS,NULL,,,Technical Assistance,0,48,0,48,FALSE,"RIVERS, TRAILS AND CONSERVATION ASSISTANCE",,,,,
,,15.923,National Center for Preservation Technology and Training,"INTERIOR, DEPARTMENT OF THE",National Park Service,NATIONAL PARK SERVICE,Education,B - Project Grants (Discretionary),49122,13,0.006,17,TRUE,National Center for Preservation Technology and Training,"15.904, 15.904, 15.914, 15.915, 15.915",4-May-20,4-May-20,TRUE,"Mary Striegel, Ph. D.

National Center for Preservation Technology and Training

645 University Parkway









, Natchitoches LA 71457

318-356-7444 ex 256"
,y,15.931,Conservation Activities by Youth Service Organizations,"INTERIOR, DEPARTMENT OF THE",National Park Service,NATIONAL PARK SERVICE,,B - Cooperative Agreements,2996031.94,14,0.393,23,FALSE,Conservation Activities by Youth Service Organizations,N/A,5-May-20,5-May-20,TRUE,"George McDonald

National Park Service 1849 C Street NW, Washington DC 20240

(202)513-7146"
,,15.943,Challenge Cost Share,Interior NPS,NULL,,,Capital Projects,0,48,0,48,FALSE,CHALLENGE COST SHARE,,,,,
,,15.944,Natural Resource Stewardship,"INTERIOR, DEPARTMENT OF THE",National Park Service,NATIONAL PARK SERVICE,,B - Cooperative Agreements,1158576.29,11,0.152,12,FALSE,Natural Resource Stewardship,N/A,5-May-20,5-May-20,TRUE,"Karel Morales

1201 Eye Street NW, Washington DC 20024

(202)513-7204"
,,15.945,Cooperative Research and Training Programs � Resources of the National Park System,NPS,National Park Service,,,Data & Monitoring,2299603.13,22,0.302,27,FALSE,COOPERATIVE RESEARCH AND TRAINING PROGRAMS â€“ RESOURCES OF THE NATIONAL PARK SYSTEM,,,,,
,,15.954,"National Park Service Conservation, Protection, Outreach, and Education",NPS,National Park Service,,,Education,1192899.19,16,0.157,26,FALSE,"NATIONAL PARK SERVICE CONSERVATION, PROTECTION, OUTREACH, AND EDUCATION",,,,,
,,15.962,National Wild and Scenic Rivers System,NPS,NULL,,,Conservation/Forestry/Watersheds,0,48,0,48,FALSE,NATIONAL WILD AND SCENIC RIVERS SYSTEM,,,,,
,y,15.980,National Ground-Water Monitoring Network,"INTERIOR, DEPARTMENT OF THE",U.S. Geological Survey,US GEOLOGICAL SURVEY,,B - Cooperative Agreements (Discretionary Grants),486576,1,0.064,5,FALSE,National Ground-Water Monitoring Network,"15.808, 15.808",18-May-21,18-May-21,TRUE,"Daryll A. Pope

3450 Princeton Pike

Suite 110, Lawrenceville NJ 08648

(804) 261-2630"
,y,15.981,Water Use and Data Research,"INTERIOR, DEPARTMENT OF THE",U.S. Geological Survey,US GEOLOGICAL SURVEY,,B - Cooperative Agreements (Discretionary Grants),82300,24,0.011,24,FALSE,Water Use and Data Research,"15.808, 15.808",18-May-21,18-May-21,TRUE,"Melinda Dalton

Program Coordinator for the Water Availability and Use Science Program, Norcross GA 30093

(770) 283-9728"
,,17.002,Labor Force Statistics,"LABOR, DEPARTMENT OF",Bureau of Labor Statistics,BUREAU OF LABOR STATISTICS,Data & Monitoring,Z - Salaries and Expenses,8273111,14,1.086,36,TRUE,Labor Force Statistics,"17.005, 17.004, 17.004",18-Aug-20,18-Aug-20,TRUE,"Julie Hatch

2 Massachusetts Avenue, N.E., Washington DC 20212

(202) 691-5473"
,y,17.283,Workforce Innovation Fund,"LABOR, DEPARTMENT OF",Employment and Training Administration,EMPLOYMENT AND TRAINING ADMINISTRATION,Education,B - Project Grants,5862934.67,9,0.77,12,TRUE,Workforce Innovation Fund,N/A,16-Sep-20,16-Sep-20,FALSE,"Charlotte Harris

200 Constitution Ave, NW, Washington DC 20210

2026932863"
,y,17.286,Hurricanes and Wildfires of 2017 Supplemental� National Dislocated Worker Grants,"LABOR, DEPARTMENT OF",NULL,EMPLOYMENT AND TRAINING ADMINISTRATION,Education,B - Project Grants (for specified projects),0,48,0,48,TRUE,Hurricanes and Wildfires of 2017 Supplemental– National Dislocated Worker Grants,N/A,9-Sep-20,9-Sep-20,TRUE,"Robert Kight

200 Constitution Avenue, N.W.

, Washington DC 20210

2026933937"
,,19.017,Environmental and Scientific Partnerships and Programs,"STATE, DEPARTMENT OF",NULL,"STATE, DEPARTMENT OF",,B - Project Grants,0,48,0,48,FALSE,Environmental and Scientific Partnerships and Programs,N/A,########,########,FALSE,"Maria Urbina

Central Programming Unit, Executive Office, Bureau of Oceans, International Environmental and Scientific Affairs, Room 10076  SA-09, Department of State, 2025 E Street NW , Washington DC 22520

(202) 472-8171"
,,19.087,International Fisheries Commissions,"STATE, DEPARTMENT OF",NULL,"STATE, DEPARTMENT OF",Conservation,A - Formula Grants (Apportionments),0,48,0,48,TRUE,International Fisheries Commissions,N/A,18-Sep-19,18-Sep-19,TRUE,"KC T. Dao,

Bureau of Oceans Environment and Scientific Affairs, Room 2880 HST, Department of State, 2201 C Street, NW, Washington DC 20520

(202) 647-2198."
,,19.750,Bureau of Western Hemisphere Affairs (WHA) Grant Programs (including Energy and Climate Partnership for the Americas),"STATE, DEPARTMENT OF",NULL,"STATE, DEPARTMENT OF",Capital Projects,B - Project Grants,0,48,0,48,TRUE,Bureau of Western Hemisphere Affairs (WHA) Grant Programs (including Energy and Climate Partnership for the Americas),N/A,20-Sep-19,20-Sep-19,TRUE,"Anthony Grimaldo

2201 C St. NW, Washington DC 20520

202 647 5506"
,,20.106,Airport Improvement Program,FAA,Federal Aviation Administration,,,Capital Projects,1077576393,10,141.509,19,FALSE,AIRPORT IMPROVEMENT PROGRAM,,,,,
,y,20.200,Highway Research and Development Program,FEDERAL HIGHWAY ADMINISTRATION,Federal Highway Administration,,,RESEARCH & INNOVATION,30976430.93,10,4.068,15,FALSE,HIGHWAY RESEARCH AND DEVELOPMENT PROGRAM,,,,,
,y,20.205,Highway Planning and Construction,"TRANSPORTATION, DEPARTMENT OF",Federal Highway Administration,FEDERAL HIGHWAY ADMINISTRATION,,Z - Salaries and Expenses,2250827066,26,295.582,45,FALSE,Highway Planning and Construction/Recreational Trails Program,"20.215, 23.003, 20.200, 20.223, 20.219, 20.240",23-Jun-20,23-Jun-20,TRUE,"Peter Stephanos

1200 New Jersey Avenue SE, Washington DC 20590

(202) 366-0027"
,y,20.215,Highway Training and Education,,Federal Highway Administration,,Education,,882410.65,27,0.116,40,TRUE,Highway Training and Education,,,,,
,y,20.224,Federal Lands Access Program,,Federal Highway Administration,,,,18645537.58,4,2.449,7,FALSE,Federal Lands Access Program,,,,,
,,20.324,NULL,"TRANSPORTATION, DEPARTMENT OF",NULL,FEDERAL RAILROAD ADMINISTRATION,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Restoration and Enhancement,N/A,########,########,TRUE,"Felicia Young, Chief of Grants and Program Division

1200 New Jersey Avenue, S.E., Washington DC 20590

(202) 493-6441"
,,20.326,Federal-State Partnership for State of Good Repair,"TRANSPORTATION, DEPARTMENT OF",NULL,FEDERAL RAILROAD ADMINISTRATION,Capital Projects,B - Project Grants,0,49,0,49,TRUE,Federal-State Partnership for State of Good Repair,N/A,########,########,TRUE,"Felicia Young, Chief of Grants and Program Division

1200 New Jersey Avenue, S.E., Washington DC 20590

(202) 493-6441"
,,20.500,Federal Transit Capital Investment Grants,"TRANSPORTATION, DEPARTMENT OF",Federal Transit Administration,FEDERAL TRANSIT ADMINISTRATION,Capital Projects,B - Project Grants,1145602696,2,150.442,5,TRUE,Federal Transit Capital Investment Grants,"20.507, 20.505",########,########,TRUE,"Elizabeth Day

1200 New Jersey Avenue, S.E., , Washington DC 20590

(202) 366-5159"
,y,20.500,Federal Transit Capital Investment Grants,,Federal Transit Administration,,Capital Projects,,1145602696,2,150.442,5,TRUE,Federal Transit Capital Investment Grants (TOD) Planning,,,,,
,,20.519,Clean Fuels,"TRANSPORTATION, DEPARTMENT OF",NULL,FEDERAL TRANSIT ADMINISTRATION,Capital Projects,B - Project Grants,0,47,0,48,TRUE,Clean Fuels,"20.505, 20.526, 20.505",########,########,FALSE,"Vanessa Williams

1200 New Jersey Avenue, SE, Washington DC 20590

2023664818"
,,20.523,Capital Assistance Program for Reducing Energy Consumption and Greenhouse Gas Emissions,FTA,Federal Transit Administration,,,Capital Projects,1804161,3,0.237,1,FALSE,CAPITAL ASSISTANCE PROGRAM FOR REDUCING ENERGY CONSUMPTION AND GREENHOUSE GAS EMISSIONS,,,,,
,,20.526,"Buses and Bus Facilities Formula, Competitive, and Low or No Emissions Programs",FTA,Federal Transit Administration,,,Capital Projects,262380600,11,34.456,16,FALSE,BUS AND BUS FACILITIES FORMULA PROGRAM,,,,,
,,20.527,Public Transportation Emergency Relief Program,"TRANSPORTATION, DEPARTMENT OF",NULL,FEDERAL TRANSIT ADMINISTRATION,Capital Projects,B - Project Grants,0,48,0,48,TRUE,Public Transportation Emergency Relief Program,"20.507, 20.509, 20.513",########,########,TRUE,"Thomas Wilson

1200 New jersey Ave SE, Washington DC 20590

202-366-5279"
,y,20.531,Technical Assistance and Workforce Development,"TRANSPORTATION, DEPARTMENT OF",NULL,FEDERAL TRANSIT ADMINISTRATION,Technical Assistance,B - Project Grants (Cooperative Agreements or Contracts),0,48,0,48,TRUE,Technical Assistance and Workforce Development,20.514,18-Aug-20,18-Aug-20,TRUE,"Mary Leary, Deputy Associate Administrator for Research, Demonstration and Innovation

1200 New Jersey Ave, S.E., Washington DC 20590

(202) 366-2204"
,,20.703,Interagency Hazardous Materials Public Sector Training and Planning Grants,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Pipeline and Hazardous Materials Safety Administration,,,Technical Assistance,1096828.99,24,0.144,30,FALSE,HAZARDOUS MATERIALS INSTRUCTOR TRAINING,,,,,
,,20.710,Technical Assistance Grants,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Pipeline and Hazardous Materials Safety Administration,,,Technical Assistance,532177.34,6,0.07,8,FALSE,TECHNICAL ASSISTANCE GRANTS,,,,,
,,20.814,Assistance to Small Shipyards,Maritime Administration,Maritime Administration,,,Capital Projects,5753382,4,0.756,8,FALSE,ASSISTANCE TO SMALL SHIPYARDS,,,,,
,y,20.819,Ballast Water Treatment Technologies,"TRANSPORTATION, DEPARTMENT OF",NULL,MARITIME ADMINISTRATION,Capital Projects,Z - Salaries and Expenses,0,48,0,48,TRUE,Ballast Water Treatment Technologies,N/A,13-Aug-20,13-Aug-20,TRUE,"Carolyn Junemann

1200 New Jersey Avenue, S.E.

Room W26-418, Washington DC 20590

(202) 366-1920"
,y,20.823,Port Infrastructure Development Program,,NULL,,Capital Projects,,0,49,0,49,TRUE,Port Infrastructure Development Program,,,,,
,y,20.933,National Infrastructure Investments,"TRANSPORTATION, DEPARTMENT OF",Federal Highway Administration,OFFICE OF THE SECRETARY,Capital Projects,B - Project Grants (Discretionary),100722052.6,10,13.227,26,TRUE,National Infrastructure Investments,N/A,5-Aug-20,5-Aug-20,FALSE,"Howard Hill

1200 New Jersey Avenue, SE, Washington DC 20590

(202) 366-0301"
,,20.936,NULL,"TRANSPORTATION, DEPARTMENT OF",NULL,OFFICE OF THE SECRETARY,Capital Projects,B - Project Grants (Discretionary),0,48,0,48,TRUE,Transportation Demonstration Program,N/A,23-Feb-21,23-Feb-21,TRUE,"Shira Bergstein

1200 New Jersey Avenue, SE,, Washington DC 20590

202-493-0286"
,,21.021,Bank Enterprise Award Program,COMMUNITY DEVELOPMENT FINANCIAL INSTITUTIONS FUND,NULL,,,Capital Projects,0,48,0,48,FALSE,BANK ENTERPRISE AWARD PROGRAM,,,,,
,,38.009,NULL,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL APPRAISAL SUBCOMMITTEE,NULL,,Capital Projects,B - Project Grants (Special),0,48,0,48,TRUE,Board Support and Innovation Grant,N/A,27-Oct-20,27-Oct-20,TRUE,"Mark Abbott

1325 G St. NW, Suite 500, Washington DC 20005

202-327-1883"
,y,43.001,Science,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,National Aeronautics and Space Administration,,,B - Cooperative Agreements (Discretionary Grants),186600744.3,12,24.505,19,FALSE,Science,43.002,12-Aug-20,12-Aug-20,TRUE,"Max Bernstein

Science Mission Directorate Lead for Research

300 E St., SW, Washington DC 20546

202.358.0879"
,,45.024,Promotion of the Arts Grants to Organizations and Individuals,National Endowment for the Arts,National Endowment for the Arts,,,Capital Projects,4473611.11,12,0.587,20,FALSE,AWARDS TO ORGANIZATIONS AND INDIVIDUALS,,,,,
,,47.041,Engineering,NATIONAL SCIENCE FOUNDATION,National Science Foundation,,,B - Project Grants,171040086,16,22.461,21,FALSE,Engineering,"47.070, 47.075, 47.074, 47.076, 47.049, 47.079, 47.050",3-Aug-20,3-Aug-20,TRUE,"Darren Dutterer

2415 Eisenhower Avenue, Alexandria VA 22314

7032924494"
,,47.049,Mathematical and Physical Sciences,NSF,National Science Foundation,,,RESEARCH & INNOVATION,210831186,20,27.687,23,FALSE,MATHEMATICAL AND PHYSICAL SCIENCES,,,,,
,,47.050,Geosciences,NATIONAL SCIENCE FOUNDATION,National Science Foundation,,,B - Project Grants,347186853,8,45.593,11,FALSE,Geosciences,"47.076, 47.041, 47.074, 47.049, 47.075, 47.070, 47.079",3-Aug-20,3-Aug-20,TRUE,"Melissa Lane

2415 Eisenhower Avenue, Alexandria VA 22314

7032928500"
,,47.070,Computer and Information Science and Engineering,NATIONAL SCIENCE FOUNDATION,National Science Foundation,,,B - Project Grants,181524863,13,23.838,16,FALSE,Computer and Information Science and Engineering,"47.076, 47.041, 47.074, 47.049, 47.050, 47.075, 47.079",3-Aug-20,3-Aug-20,TRUE,"Carmen Whitson

2415 Eisenhower Avenue, Alexandria VA 22314

7032928900"
,,47.074,Biological Sciences,NATIONAL SCIENCE FOUNDATION,National Science Foundation,,,B - Project Grants,191691452,17,25.173,28,FALSE,Biological Sciences,"47.076, 47.050, 47.075, 47.079, 47.041, 47.049, 47.070, 47.078",3-Aug-20,3-Aug-20,TRUE,"Erika Chiang

2415 Eisenhower Avenue, Alexandria VA 22314

7032927770"
,,47.075,"Social, Behavioral, and Economic Sciences",NATIONAL SCIENCE FOUNDATION,National Science Foundation,,Research & Innovation,B - Project Grants,56598353,13,7.433,17,TRUE,"Social, Behavioral, and Economic Sciences","47.076, 47.050, 47.083, 47.041, 47.074, 47.049, 47.079, 47.070",3-Aug-20,3-Aug-20,TRUE,"Deborah Livingston

2415 Eisenhower Avenue, Alexandria VA 22314

7032928700"
,,47.076,Education and Human Resources,NATIONAL SCIENCE FOUNDATION,National Science Foundation,,,B - Project Grants,391456177,9,51.407,14,FALSE,Education and Human Resources,"47.070, 47.041, 47.074, 47.079, 47.049, 47.050, 84.120, 47.075",3-Aug-20,3-Aug-20,TRUE,"Stephanie Saltzman

2415 Eisenhower Avenue, Alexandria VA 22314

7032928600"
,,47.081,Office of Experimental Program to Stimulate Competitive Research,NSF,National Science Foundation,,,RESEARCH & INNOVATION,130485,38,0.017,39,FALSE,OFFICE OF EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH,,,,,
,,47.082,Trans-NSF Recovery Act Reasearch Support,NSF,National Science Foundation,,,RESEARCH & INNOVATION,61909066,13,8.13,21,FALSE,TRANS-NSF RECOVERY ACT REASEARCH SUPPORT,,,,,
